epoch (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set,duration
2019-01-11 15:08:15.900,-0.0365,1.1415000000000002,0.0179999999999999,5.60975,3.5365,-2.7897499999999997,B,bench,heavy,64,16.0
2019-01-11 15:08:16.050,-0.028,0.8995,-0.0795,-0.8840000000000003,-0.2894999999999998,0.7929999999999999,B,bench,heavy,64,16.0
2019-01-11 15:08:16.200,-0.045,0.969,-0.018,3.4350000000000005,-6.036666666666666,3.8413333333333335,B,bench,heavy,64,16.0
2019-01-11 15:08:16.350,-0.0505,1.008,-0.023,-4.02425,-0.3507499999999999,-0.1677499999999999,B,bench,heavy,64,16.0
2019-01-11 15:08:16.500,-0.0325,0.9755,-0.0075,-1.5397499999999995,-0.77725,-2.4697500000000003,B,bench,heavy,64,16.0
2019-01-11 15:08:16.650,-0.026,0.948,-0.0009999999999999,7.698,0.6095000000000006,-1.76825,B,bench,heavy,64,16.0
2019-01-11 15:08:16.800,-0.062,1.001,-0.0424999999999999,0.0203333333333333,-4.309,1.8293333333333333,B,bench,heavy,64,16.0
2019-01-11 15:08:16.950,-0.054,0.9615,-0.036,3.6887500000000006,-2.1647499999999997,-1.49375,B,bench,heavy,64,16.0
2019-01-11 15:08:17.100,-0.0485,0.9735,-0.045,2.0425,-3.67375,1.0517499999999995,B,bench,heavy,64,16.0
2019-01-11 15:08:17.250,-0.0505,0.9805,-0.052,-1.6310000000000002,0.1220000000000001,-0.5487500000000002,B,bench,heavy,64,16.0
2019-01-11 15:08:17.400,-0.059,0.94,-0.056,9.227666666666666,-2.764333333333333,0.5893333333333333,B,bench,heavy,64,16.0
2019-01-11 15:08:17.550,-0.0625,0.8745,-0.0515,16.9665,12.69825,-17.0735,B,bench,heavy,64,16.0
2019-01-11 15:08:17.700,-0.076,0.7264999999999999,-0.1135,28.75,6.2195,-27.16475,B,bench,heavy,64,16.0
2019-01-11 15:08:17.850,-0.1585,0.88,-0.192,18.1555,0.5030000000000001,-14.192,B,bench,heavy,64,16.0
2019-01-11 15:08:18.000,-0.212,0.919,-0.22,-5.264333333333333,-6.849666666666667,8.272,B,bench,heavy,64,16.0
2019-01-11 15:08:18.150,-0.215,0.9595,-0.145,-28.75,-4.6035,8.491,B,bench,heavy,64,16.0
2019-01-11 15:08:18.300,-0.248,1.3210000000000002,-0.086,-36.0365,-11.63125,0.9447500000000008,B,bench,heavy,64,16.0
2019-01-11 15:08:18.450,-0.2655,1.314,-0.089,37.637,6.9967500000000005,-18.26225,B,bench,heavy,64,16.0
2019-01-11 15:08:18.600,-0.201,0.767,-0.059,16.341666666666665,-19.166666666666668,-16.768333333333334,B,bench,heavy,64,16.0
2019-01-11 15:08:18.750,-0.237,0.8785000000000001,-0.1714999999999999,5.60975,-1.997,-3.62825,B,bench,heavy,64,16.0
2019-01-11 15:08:18.900,-0.29,0.903,-0.1704999999999999,0.1982500000000002,-2.0577499999999995,0.3507499999999997,B,bench,heavy,64,16.0
2019-01-11 15:08:19.050,-0.2694999999999999,0.92,-0.1664999999999999,11.6005,5.64025,18.94825,B,bench,heavy,64,16.0
2019-01-11 15:08:19.200,-0.2754999999999999,0.952,-0.173,-7.947,-0.7316666666666668,3.7806666666666664,B,bench,heavy,64,16.0
2019-01-11 15:08:19.350,-0.1995,1.0034999999999998,-0.219,-1.70725,-8.14025,21.11275,B,bench,heavy,64,16.0
2019-01-11 15:08:19.500,-0.1714999999999999,1.056,-0.1315,-37.51525,-9.4055,29.939,B,bench,heavy,64,16.0
2019-01-11 15:08:19.650,-0.062,0.6495,-0.078,-23.67375,7.8355,17.91175,B,bench,heavy,64,16.0
2019-01-11 15:08:19.800,-0.015,0.607,-0.045,27.947333333333333,-4.2683333333333335,0.4266666666666669,B,bench,heavy,64,16.0
2019-01-11 15:08:19.950,-0.0535,1.159,0.0085,-0.6095000000000004,1.14325,0.3809999999999999,B,bench,heavy,64,16.0
2019-01-11 15:08:20.100,-0.0515,0.923,-0.0905,0.0762500000000001,-2.3017499999999997,1.4024999999999996,B,bench,heavy,64,16.0
2019-01-11 15:08:20.250,-0.054,0.9815,-0.078,4.48175,-4.1615,5.6857500000000005,B,bench,heavy,64,16.0
